epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9244,2.45134,2.76818,8.98218,1.09718,0.00102,0.30516,0.00071,0.00025,0.00152,0.4554,0.00118,0.00044,2.06441,3.098,6.81009,1.08245,0.000654321,0.000654321,0.000654321
2,34.417,2.37741,2.38764,6.47526,1.08347,0.00139,0.41784,0.00477,0.00242,0.00138,0.41315,0.00474,0.0022,2.04198,5.09586,5.27032,1.09886,0.00131663,0.00131663,0.00131663
3,46.1228,2.25644,2.41501,4.5709,1.03905,0.19951,0.10649,0.07681,0.0261,0.13195,0.07042,0.03416,0.00988,2.28973,7.38722,3.55848,1.21187,0.00197454,0.00197454,0.00197454
4,58.2034,2.26483,2.08858,3.71559,1.05094,0.44224,0.18779,0.17884,0.0668,0.39695,0.16901,0.14001,0.03482,2.20035,2.47575,2.75477,1.1265,0.0019802,0.0019802,0.0019802
5,70.1333,2.27169,2.31362,2.86269,1.04511,0.20421,0.29108,0.1328,0.04459,0.12121,0.16901,0.05054,0.01307,2.08088,2.23486,2.84014,1.08568,0.0019736,0.0019736,0.0019736
6,82.0524,2.2897,2.51935,2.58982,1.04564,0.25494,0.26761,0.15149,0.05828,0.17763,0.17371,0.08045,0.02433,2.07454,8.2788,2.7302,1.09481,0.001967,0.001967,0.001967
7,93.5706,2.21607,2.20432,2.27323,1.02228,0.39529,0.3615,0.2878,0.12102,0.31096,0.23944,0.16644,0.04397,1.92682,1.81399,2.06886,1.04366,0.0019604,0.0019604,0.0019604
8,104.707,2.12957,1.9926,2.03408,1.032,0.4012,0.35231,0.32808,0.11358,0.27988,0.19718,0.14175,0.0354,2.12418,1.90405,1.86051,1.06398,0.0019538,0.0019538,0.0019538
9,115.852,2.17854,2.01561,1.98508,1.03009,0.40547,0.4554,0.39263,0.1421,0.37357,0.25822,0.25025,0.08832,2.09523,1.80084,1.79586,1.10869,0.0019472,0.0019472,0.0019472
10,127.161,2.13327,2.12422,1.92248,1.00248,0.59749,0.39725,0.48264,0.19546,0.43824,0.28638,0.28185,0.07988,1.88686,1.70844,1.67538,1.03723,0.0019406,0.0019406,0.0019406
11,138.559,2.07287,1.96313,1.71697,1.01147,0.38651,0.43192,0.33979,0.11668,0.24743,0.27013,0.15745,0.0419,1.91824,2.14996,1.97814,1.05729,0.001934,0.001934,0.001934
12,149.869,2.10251,2.1021,1.77493,1.00503,0.39587,0.38028,0.33411,0.13686,0.29953,0.24883,0.1861,0.04979,1.88655,1.88612,2.00595,1.03159,0.0019274,0.0019274,0.0019274
13,161.221,2.08508,1.97213,1.66606,1.01135,0.44471,0.33088,0.32625,0.11804,0.28639,0.25822,0.17999,0.05205,1.94458,2.03057,1.97209,1.02879,0.0019208,0.0019208,0.0019208
14,172.503,2.1078,2.11662,1.71173,1.02283,0.53529,0.37559,0.4058,0.16551,0.33038,0.23005,0.22681,0.07688,1.99516,1.82776,1.80778,1.04848,0.0019142,0.0019142,0.0019142
15,183.908,1.99207,2.09141,1.59604,0.97233,0.57532,0.46009,0.47257,0.17122,0.40491,0.26291,0.19468,0.05201,2.01596,1.85519,1.62108,1.07224,0.0019076,0.0019076,0.0019076
16,195.585,2.06128,1.98494,1.62694,0.99583,0.47425,0.47887,0.46945,0.19637,0.33361,0.33803,0.2743,0.08086,1.79044,1.84588,1.73684,1.0164,0.001901,0.001901,0.001901
17,208.454,1.97718,2.02478,1.6361,0.9893,0.49789,0.44227,0.42867,0.16759,0.34635,0.31843,0.26655,0.08782,1.99958,1.92038,1.59427,1.06964,0.0018944,0.0018944,0.0018944
18,221.277,1.95376,1.89137,1.53318,1.00042,0.58702,0.43192,0.49524,0.20794,0.47237,0.2606,0.2815,0.07816,1.83789,1.78541,1.73823,1.02015,0.0018878,0.0018878,0.0018878
19,232.958,2.01137,1.98218,1.57799,0.9977,0.50283,0.44159,0.44091,0.18109,0.34243,0.26649,0.22789,0.06687,1.81827,1.82108,1.62567,1.018,0.0018812,0.0018812,0.0018812
